customer_id,first_name,last_name,email,plan,mrr_eur,country,industry,signup_date,last_login_date,days_since_last_login,actions_last_7d,features_used_count,invites_sent,nps_score,support_tickets_30d
CUST-0001,Ugo,Petit,ugo.petit12@company.io,free,0,UK,SaaS,2025-07-21,2026-04-20,9,2,6,0,,4
CUST-0002,Gabriel,Lambert,gabriel.lambert36@company.io,starter,49,UK,Education,2024-10-17,2026-04-25,4,3,2,0,5,0
CUST-0003,Clara,Lefebvre,clara.lefebvre11@work.com,free,0,Netherlands,Finance,2025-05-11,2026-04-22,7,37,1,0,6,0
CUST-0004,Bob,Dupont,bob.dupont21@work.com,free,0,Netherlands,Finance,2025-07-06,2026-04-28,1,27,4,0,5,2
CUST-0005,William,Andre,william.andre82@company.io,pro,149,Netherlands,SaaS,2026-02-14,2026-04-10,19,4,1,0,4,1
CUST-0006,Antoine,Bernard,antoine.bernard83@pro.fr,pro,149,Spain,Healthcare,2025-03-14,2026-04-12,17,6,1,0,6,1
CUST-0007,Hugo,Fontaine,hugo.fontaine66@pro.fr,starter,49,Germany,SaaS,2025-08-02,2026-04-23,6,26,3,0,2,0
CUST-0008,Emma,Bonnet,emma.bonnet88@gmail.com,free,0,Belgium,Education,2024-06-01,2026-04-15,14,8,2,0,0,0
CUST-0009,Jules,Leroy,jules.leroy81@work.com,free,0,UK,Consulting,2026-04-25,2026-04-25,4,35,2,0,1,2
CUST-0010,Yasmine,Richard,yasmine.richard31@gmail.com,starter,49,UK,E-commerce,2024-11-01,2026-04-22,7,4,1,0,4,0
CUST-0011,Xavier,David,xavier.david55@company.io,pro,149,UK,Healthcare,2024-10-30,2026-04-14,15,3,2,0,9,3
CUST-0012,Valeria,Bonnet,valeria.bonnet76@company.io,starter,49,France,E-commerce,2024-11-15,2026-04-20,9,6,0,0,3,0
CUST-0013,Hugo,Thomas,hugo.thomas17@pro.fr,enterprise,499,UK,Retail,2025-05-25,2026-03-10,50,1,3,0,,3
CUST-0014,Gabriel,Petit,gabriel.petit14@company.io,free,0,UK,Finance,2025-02-11,2026-04-29,0,9,0,0,5,4
CUST-0015,Olivier,Robert,olivier.robert84@gmail.com,starter,49,Germany,Finance,2025-07-17,2026-04-28,1,31,8,0,,1
CUST-0016,Nina,David,nina.david37@pro.fr,starter,49,Switzerland,Consulting,2025-03-14,2026-04-21,8,7,4,0,7,1
CUST-0017,Jules,Durand,jules.durand68@company.io,enterprise,499,France,E-commerce,2024-09-12,2026-04-16,13,1,0,0,8,1
CUST-0018,Clara,Girard,clara.girard85@work.com,free,0,Belgium,Finance,2025-08-31,2026-04-26,3,40,0,0,6,2
CUST-0019,Hugo,Moreau,hugo.moreau13@gmail.com,starter,49,UK,Healthcare,2024-06-10,2026-04-28,1,3,7,0,9,1
CUST-0020,Damien,Michel,damien.michel39@gmail.com,pro,149,Spain,Healthcare,2025-08-21,2026-04-13,16,5,0,0,8,0
CUST-0021,Céline,Petit,céline.petit12@pro.fr,pro,149,Belgium,SaaS,2025-11-20,2026-04-24,5,16,4,4,0,0
CUST-0022,Karim,Rousseau,karim.rousseau10@company.io,free,0,France,Education,2025-08-03,2026-02-12,76,2,3,0,1,4
CUST-0023,Rachel,Robert,rachel.robert14@work.com,starter,49,Italy,Consulting,2026-03-17,2026-04-29,0,25,3,0,10,1
CUST-0024,Beatrice,Richard,beatrice.richard35@company.io,enterprise,499,Germany,Marketing,2025-10-29,2026-04-10,19,6,3,0,3,0
CUST-0025,Beatrice,David,beatrice.david43@work.com,free,0,Germany,Healthcare,2025-01-12,2026-04-26,3,17,0,0,6,2
CUST-0026,Ugo,Bertrand,ugo.bertrand77@pro.fr,starter,49,Netherlands,Education,2024-10-26,2026-04-17,12,3,4,0,,3
CUST-0027,Thomas,Bertrand,thomas.bertrand69@company.io,free,0,Netherlands,Marketing,2024-09-15,2026-04-04,25,2,3,0,,0
CUST-0028,Valeria,Andre,valeria.andre90@work.com,starter,49,Spain,Finance,2025-06-11,2026-04-17,12,5,6,0,,3
CUST-0029,Valeria,Lefebvre,valeria.lefebvre78@work.com,pro,149,Switzerland,Retail,2025-11-01,2026-04-29,0,22,4,1,9,3
CUST-0030,Valeria,Durand,valeria.durand87@work.com,starter,49,UK,Finance,2025-11-06,2026-04-11,18,6,0,0,3,1
CUST-0031,Alice,Bernard,alice.bernard64@pro.fr,free,0,UK,Consulting,2024-12-28,2026-04-22,7,29,3,0,6,0
CUST-0032,Céline,Rousseau,céline.rousseau59@company.io,pro,149,Switzerland,Education,2026-01-09,2026-04-09,20,8,0,0,1,3
CUST-0033,Thomas,Muller,thomas.muller82@work.com,pro,149,Switzerland,Finance,2024-11-28,2026-04-22,7,13,7,0,3,2
CUST-0034,Olivier,Thomas,olivier.thomas20@company.io,pro,149,Germany,Marketing,2025-08-31,2026-04-28,1,11,2,1,,3
CUST-0035,Karim,Morel,karim.morel39@pro.fr,starter,49,Italy,Finance,2026-02-24,2026-04-29,0,39,6,0,5,3
CUST-0036,Hugo,Moreau,hugo.moreau69@gmail.com,starter,49,Italy,SaaS,2026-03-30,2026-04-23,6,13,7,0,9,0
CUST-0037,Ugo,Leroy,ugo.leroy42@work.com,free,0,Italy,Healthcare,2025-01-11,2026-03-07,53,1,2,0,,3
CUST-0038,Isabelle,Muller,isabelle.muller6@gmail.com,free,0,UK,Finance,2026-04-09,2026-04-16,13,4,1,0,10,0
CUST-0039,Thomas,Robert,thomas.robert78@gmail.com,free,0,Spain,Healthcare,2024-12-30,2026-04-26,3,32,4,0,2,0
CUST-0040,Sophie,Martin,sophie.martin32@gmail.com,enterprise,499,Belgium,E-commerce,2024-09-16,2026-04-23,6,15,1,4,10,4
CUST-0041,Zoé,Bernard,zoé.bernard14@pro.fr,starter,49,Netherlands,Retail,2025-02-14,2026-04-11,18,6,0,0,7,1
CUST-0042,Nina,Richard,nina.richard35@work.com,pro,149,UK,E-commerce,2024-07-01,2026-04-22,7,32,6,0,9,2
CUST-0043,Céline,Roux,céline.roux63@company.io,free,0,Netherlands,Healthcare,2025-01-08,2026-04-24,5,4,7,0,2,2
CUST-0044,Isabelle,Faure,isabelle.faure72@company.io,starter,49,Switzerland,Retail,2025-07-20,2026-04-26,3,8,3,0,7,3
CUST-0045,Zoé,Martin,zoé.martin55@work.com,free,0,Netherlands,Retail,2025-09-14,2026-04-11,18,6,3,0,5,2
CUST-0046,Jules,Moreau,jules.moreau93@work.com,free,0,Germany,Finance,2025-10-13,2026-04-27,2,15,3,0,4,2
CUST-0047,Hugo,Michel,hugo.michel17@pro.fr,free,0,Germany,SaaS,2026-04-14,2026-04-21,8,1,8,0,,4
CUST-0048,Jules,David,jules.david9@pro.fr,starter,49,Switzerland,E-commerce,2025-05-15,2026-04-03,26,1,3,0,,4
CUST-0049,Ugo,Dupont,ugo.dupont78@company.io,free,0,Italy,Retail,2025-11-27,2026-04-28,1,18,1,0,6,3
CUST-0050,Jules,Lefevre,jules.lefevre11@company.io,starter,49,UK,Consulting,2025-02-13,2026-04-28,1,16,3,0,,4
CUST-0051,Clara,Richard,clara.richard10@company.io,free,0,Belgium,Finance,2025-01-22,2026-04-29,0,17,4,0,7,3
CUST-0052,David,Morel,david.morel96@work.com,free,0,Switzerland,E-commerce,2025-11-27,2026-04-28,1,6,2,0,9,3
CUST-0053,William,Laurent,william.laurent33@gmail.com,pro,149,Germany,Finance,2025-07-24,2026-04-28,1,5,6,5,,4
CUST-0054,Sophie,Martin,sophie.martin24@pro.fr,enterprise,499,Switzerland,E-commerce,2024-06-09,2026-04-27,2,33,8,5,4,3
CUST-0055,Laura,Leroy,laura.leroy85@pro.fr,starter,49,France,Retail,2024-06-11,2026-03-20,40,1,3,0,4,0
CUST-0056,Karim,Moreau,karim.moreau67@work.com,starter,49,Switzerland,Retail,2025-03-11,2026-04-29,0,37,7,0,3,0
